file_id,is_attacker,reason
1.180.18.194,1,ip has malicious act
1.29.160.83,1,ip has malicious act
1.68.63.45,1,ip has malicious act
1.68.63.46,1,ip has malicious act
1.80.2.56,1,ip has malicious act
1.80.234.85,1,ip has malicious act
101.207.121.34,1,ip has malicious act
101.95.175.54,1,ip has malicious act
103.1.31.227,1,
103.115.42.43,1,":'PHP Injection Attack: High-Risk PHP Function Call Found',:'PHP Injection Attack: Low-Value PHP Function Call Found',:'PHP Injection Attack: Variables Found',:'SQL Comment Sequence Detected.',:'SQL Injection Attack',"
103.193.174.220,1,":'PHP Injection Attack: High-Risk PHP Function Call Found',:'Remote Command Execution: Wildcard bypass technique attempt',:'SQL Comment Sequence Detected.',"
103.200.125.50,1,":'Path Traversal Attack (/../)',"
103.204.177.143,1,":'PHP Injection Attack: High-Risk PHP Function Call Found',:'PHP Injection Attack: Low-Value PHP Function Call Found',:'SQL Comment Sequence Detected.',:'SQL Injection Attack',"
103.212.35.69,1,":'PHP Injection Attack: High-Risk PHP Function Call Found',:'SQL Injection Attack',"
103.213.251.155,1,":'PHP Injection Attack: High-Risk PHP Function Call Found',:'PHP Injection Attack: Low-Value PHP Function Call Found',:'PHP Injection Attack: Variables Found',:'SQL Comment Sequence Detected.',:'SQL Injection Attack',"
103.213.251.70,1,":'PHP Injection Attack: High-Risk PHP Function Call Found',:'SQL Injection Attack',"
103.213.96.156,1,":'PHP Injection Attack: High-Risk PHP Function Call Found',:'PHP Injection Attack: Low-Value PHP Function Call Found',:'SQL Comment Sequence Detected.',:'SQL Injection Attack',"
103.214.171.214,1,":'PHP Injection Attack: High-Risk PHP Function Call Found',:'PHP Injection Attack: Low-Value PHP Function Call Found',:'SQL Comment Sequence Detected.',:'SQL Injection Attack',"
103.223.122.13,1,":'PHP Injection Attack: High-Risk PHP Function Call Found',:'PHP Injection Attack: Low-Value PHP Function Call Found',:'SQL Comment Sequence Detected.',:'SQL Injection Attack',"
103.224.83.111,1,":'PHP Injection Attack: Low-Value PHP Function Call Found',:'Remote Command Execution: Unix Shell Expression Found',:'SQL Comment Sequence Detected.',"
103.228.170.104,1,":'PHP Injection Attack: High-Risk PHP Function Call Found',:'PHP Injection Attack: Low-Value PHP Function Call Found',:'PHP Injection Attack: PHP Open Tag Found',:'PHP Injection Attack: Variable Function Call Found',:'PHP Injection Attack: Variables Found',:'Path Traversal Attack (/../)',:'Possible XSS Attack Detected - HTML Tag Handler',:'Remote Command Execution: Wildcard bypass technique attempt',:'SQL Comment Sequence Detected.',:'SQL Injection Attack',:'SQL Injection Attack: Common DB Names Detected',:'XSS Filter - Category 5: Disallowed HTML Attributes',"
103.228.170.74,1,":'PHP Injection Attack: High-Risk PHP Function Call Found',:'PHP Injection Attack: Low-Value PHP Function Call Found',:'PHP Injection Attack: PHP Open Tag Found',:'PHP Injection Attack: Variable Function Call Found',:'PHP Injection Attack: Variables Found',:'Path Traversal Attack (/../)',:'Possible XSS Attack Detected - HTML Tag Handler',:'Remote Command Execution: Wildcard bypass technique attempt',:'SQL Comment Sequence Detected.',:'SQL Injection Attack',:'SQL Injection Attack: Common DB Names Detected',:'XSS Filter - Category 5: Disallowed HTML Attributes',MSG"
103.228.170.84,1,":'PHP Injection Attack: High-Risk PHP Function Call Found',:'PHP Injection Attack: Low-Value PHP Function Call Found',:'PHP Injection Attack: PHP Open Tag Found',:'PHP Injection Attack: Variable Function Call Found',:'PHP Injection Attack: Variables Found',:'Path Traversal Attack (/../)',:'Possible XSS Attack Detected - HTML Tag Handler',:'Remote Command Execution: Unix Shell Expression Found',:'Remote Command Execution: Wildcard bypass technique attempt',:'SQL Comment Sequence Detected.',:'SQL Injection Attack',:'XSS Filter - Category 5: Disallowed HTML Attributes',MSG"
103.229.126.162,1,":'PHP Injection Attack: High-Risk PHP Function Call Found',:'PHP Injection Attack: Low-Value PHP Function Call Found',:'Remote Command Execution: Unix Shell Expression Found',:'SQL Comment Sequence Detected.',:'SQL Injection Attack',"
103.23.137.185,1,
103.231.14.109,1,":'PHP Injection Attack: High-Risk PHP Function Call Found',:'PHP Injection Attack: Low-Value PHP Function Call Found',:'PHP Injection Attack: Variables Found',:'SQL Comment Sequence Detected.',:'SQL Injection Attack',"
103.239.247.159,1,":'PHP Injection Attack: High-Risk PHP Function Call Found',:'PHP Injection Attack: Low-Value PHP Function Call Found',:'PHP Injection Attack: Variables Found',:'SQL Comment Sequence Detected.',:'SQL Injection Attack',"
103.244.89.19,1,
103.244.89.91,1,":'PHP Injection Attack: High-Risk PHP Function Call Found',:'PHP Injection Attack: Low-Value PHP Function Call Found',:'PHP Injection Attack: Variables Found',:'SQL Injection Attack',"
103.254.72.186,1,":'PHP Injection Attack: High-Risk PHP Function Call Found',:'PHP Injection Attack: Low-Value PHP Function Call Found',:'PHP Injection Attack: PHP Open Tag Found',:'PHP Injection Attack: Variable Function Call Found',:'Path Traversal Attack (/../)',:'SQL Comment Sequence Detected.',:'SQL Injection Attack',:'SQL Injection Attack: Common DB Names Detected',MSG"
103.37.1.82,1,":'Path Traversal Attack (/../)',MSG"
103.43.11.218,1,":'PHP Injection Attack: High-Risk PHP Function Call Found',:'PHP Injection Attack: Low-Value PHP Function Call Found',:'Remote Command Execution: Wildcard bypass technique attempt',:'SQL Comment Sequence Detected.',:'SQL Injection Attack',:'SQL Injection Attack: Common DB Names Detected',MSG"
103.45.101.253,1,":'PHP Injection Attack: High-Risk PHP Function Call Found',:'PHP Injection Attack: Low-Value PHP Function Call Found',:'PHP Injection Attack: Variables Found',:'SQL Injection Attack',"
103.45.13.175,1,":'PHP Injection Attack: High-Risk PHP Function Call Found',:'PHP Injection Attack: Low-Value PHP Function Call Found',:'PHP Injection Attack: Variables Found',:'SQL Injection Attack',"
103.48.22.202,1,":'Path Traversal Attack (/../)',MSG"
103.50.254.200,1,":'PHP Injection Attack: High-Risk PHP Function Call Found',:'PHP Injection Attack: Low-Value PHP Function Call Found',:'Remote Command Execution: Wildcard bypass technique attempt',:'SQL Comment Sequence Detected.',"
103.54.60.154,1,":'PHP Injection Attack: High-Risk PHP Function Call Found',:'PHP Injection Attack: Low-Value PHP Function Call Found',:'Possible XSS Attack Detected - HTML Tag Handler',:'SQL Comment Sequence Detected.',:'SQL Injection Attack',:'SQL Injection Attack: Common DB Names Detected',MSG"
103.54.60.74,1,":'PHP Injection Attack: High-Risk PHP Function Call Found',:'PHP Injection Attack: Low-Value PHP Function Call Found',:'PHP Injection Attack: Variables Found',:'SQL Injection Attack',MSG"
103.55.129.162,1,":'PHP Injection Attack: High-Risk PHP Function Call Found',:'PHP Injection Attack: Low-Value PHP Function Call Found',:'Remote Command Execution: Wildcard bypass technique attempt',:'SQL Comment Sequence Detected.',:'SQL Injection Attack',MSG"
103.56.113.247,1,":'PHP Injection Attack: High-Risk PHP Function Call Found',:'PHP Injection Attack: Low-Value PHP Function Call Found',:'Remote Command Execution: Unix Shell Expression Found',:'SQL Comment Sequence Detected.',:'SQL Injection Attack',"
103.60.149.170,1,":'PHP Injection Attack: High-Risk PHP Function Call Found',:'PHP Injection Attack: PHP Open Tag Found',:'PHP Injection Attack: Variable Function Call Found',:'Path Traversal Attack (/../)',:'SQL Injection Attack',MSG"
103.66.57.37,1,":'PHP Injection Attack: High-Risk PHP Function Call Found',:'SQL Injection Attack',"
103.66.58.221,1,":'PHP Injection Attack: Low-Value PHP Function Call Found',:'SQL Injection Attack',:'SQL Injection Attack: Common DB Names Detected',MSG"
103.66.58.231,1,":'PHP Injection Attack: High-Risk PHP Function Call Found',:'PHP Injection Attack: Low-Value PHP Function Call Found',:'PHP Injection Attack: PHP Open Tag Found',:'PHP Injection Attack: Variable Function Call Found',:'Path Traversal Attack (/../)',:'SQL Comment Sequence Detected.',:'SQL Injection Attack',MSG"
103.66.59.90,1,":'PHP Injection Attack: High-Risk PHP Function Call Found',:'PHP Injection Attack: Low-Value PHP Function Call Found',:'Remote Command Execution: Unix Shell Expression Found',:'SQL Comment Sequence Detected.',:'SQL Injection Attack',MSG"
103.67.23.140,1,
103.70.225.5,1,":'PHP Injection Attack: High-Risk PHP Function Call Found',:'PHP Injection Attack: Low-Value PHP Function Call Found',:'PHP Injection Attack: Variables Found',:'Remote Command Execution: Unix Shell Expression Found',:'Remote Command Execution: Wildcard bypass technique attempt',:'SQL Comment Sequence Detected.',:'SQL Injection Attack',MSG"
103.75.45.26,1,":'PHP Injection Attack: High-Risk PHP Function Call Found',:'PHP Injection Attack: Low-Value PHP Function Call Found',:'PHP Injection Attack: PHP Open Tag Found',:'PHP Injection Attack: Variable Function Call Found',:'Path Traversal Attack (/../)',:'Remote Command Execution: Unix Shell Expression Found',:'Remote Command Execution: Wildcard bypass technique attempt',:'SQL Comment Sequence Detected.',:'SQL Injection Attack',:'SQL Injection Attack: Common DB Names Detected',MSG"
103.76.85.99,1,":'PHP Injection Attack: High-Risk PHP Function Call Found',:'PHP Injection Attack: PHP Open Tag Found',:'Path Traversal Attack (/../)',:'SQL Comment Sequence Detected.',"
103.79.179.189,1,":'PHP Injection Attack: High-Risk PHP Function Call Found',:'SQL Injection Attack',"
103.96.73.243,1,":'PHP Injection Attack: High-Risk PHP Function Call Found',:'PHP Injection Attack: Low-Value PHP Function Call Found',:'Remote Command Execution: Unix Shell Expression Found',:'SQL Comment Sequence Detected.',:'SQL Injection Attack',"
104.143.151.2,1,":'PHP Injection Attack: High-Risk PHP Function Call Found',:'PHP Injection Attack: Low-Value PHP Function Call Found',:'PHP Injection Attack: Variables Found',:'Path Traversal Attack (/../)',:'SQL Injection Attack',MSG"
104.149.172.130,1,":'Path Traversal Attack (/../)',MSG"
104.149.3.66,1,":'PHP Injection Attack: Low-Value PHP Function Call Found',:'SQL Injection Attack',:'SQL Injection Attack: Common DB Names Detected',MSG"
104.149.4.50,1,":'PHP Injection Attack: PHP Open Tag Found',:'PHP Injection Attack: Variable Function Call Found',:'Path Traversal Attack (/../)',MSG"
104.164.132.138,1,":'PHP Injection Attack: High-Risk PHP Function Call Found',:'PHP Injection Attack: Low-Value PHP Function Call Found',:'PHP Injection Attack: PHP Open Tag Found',:'PHP Injection Attack: Variables Found',:'Path Traversal Attack (/../)',:'SQL Comment Sequence Detected.',:'SQL Injection Attack',MSG"
104.168.109.58,1,":'Path Traversal Attack (/../)',MSG"
104.168.23.242,1,":'PHP Injection Attack: High-Risk PHP Function Call Found',:'PHP Injection Attack: Low-Value PHP Function Call Found',:'PHP Injection Attack: Variables Found',:'SQL Injection Attack',MSG"
104.168.23.250,1,":'Path Traversal Attack (/../)',MSG"
104.194.227.210,1,":'Looking for basic sql injection. Common attack string for mysql, oracle and others.',:'PHP Injection Attack: High-Risk PHP Function Call Found',:'PHP Injection Attack: Low-Value PHP Function Call Found',:'PHP Injection Attack: PHP Open Tag Found',:'PHP Injection Attack: Variable Function Call Found',:'PHP Injection Attack: Variables Found',:'Path Traversal Attack (/../)',:'Remote Command Execution: Unix Shell Expression Found',:'Remote Command Execution: Wildcard bypass technique attempt',:'SQL Comment Sequence Detected.',:'SQL Hex Encoding Identified',:'SQL Injection Attack',:'SQL Injection Attack: Common DB Names Detected',"
