ip,msg,score
1.10.187.55,MSG,0
1.10.188.54,MSG,0
1.180.18.194,MSG,0
1.20.100.18,MSG,0
1.223.26.13,MSG,0
1.29.160.83,MSG,0
1.68.63.45,":'PHP Injection Attack: PHP Open Tag Found',",1
1.68.63.45,":'Possible XSS Attack Detected - HTML Tag Handler',",1
1.68.63.45,":'Remote Command Execution: Unix Shell Expression Found',",1
1.68.63.45,":'SQL Comment Sequence Detected.',",4
1.68.63.45,MSG,0
1.68.63.46,MSG,0
1.80.2.56,MSG,0
1.80.234.85,":'PHP Injection Attack: High-Risk PHP Function Call Found',",8
1.80.234.85,":'PHP Injection Attack: Low-Value PHP Function Call Found',",3
1.80.234.85,":'PHP Injection Attack: PHP Open Tag Found',",8
1.80.234.85,":'PHP Injection Attack: Variable Function Call Found',",8
1.80.234.85,":'Path Traversal Attack (/../)',",7
1.80.234.85,":'Possible XSS Attack Detected - HTML Tag Handler',",6
1.80.234.85,":'Remote Command Execution: Unix Shell Expression Found',",8
1.80.234.85,":'Remote Command Execution: Wildcard bypass technique attempt',",3
1.80.234.85,":'SQL Comment Sequence Detected.',",3
1.80.234.85,":'SQL Injection Attack',",9
1.80.234.85,":'SQL Injection Attack: Common DB Names Detected',",3
1.80.234.85,":'XSS Filter - Category 3: Attribute Vector',",3
1.80.234.85,":'XSS Filter - Category 4: Javascript URI Vector',",3
1.80.235.171,":'PHP Injection Attack: High-Risk PHP Function Call Found',",1
1.80.235.171,":'PHP Injection Attack: Low-Value PHP Function Call Found',",1
1.80.235.171,":'PHP Injection Attack: PHP Open Tag Found',",1
1.80.235.171,":'PHP Injection Attack: Variable Function Call Found',",1
1.80.235.171,":'Path Traversal Attack (/../)',",5
1.80.235.171,":'Possible XSS Attack Detected - HTML Tag Handler',",2
1.80.235.171,":'Remote Command Execution: Unix Shell Expression Found',",1
1.80.235.171,":'Remote Command Execution: Wildcard bypass technique attempt',",1
1.80.235.171,":'SQL Comment Sequence Detected.',",1
1.80.235.171,":'SQL Injection Attack',",3
1.80.235.171,":'SQL Injection Attack: Common DB Names Detected',",1
1.80.235.171,":'XSS Filter - Category 3: Attribute Vector',",1
1.80.235.171,":'XSS Filter - Category 4: Javascript URI Vector',",1
1.85.2.113,":'PHP Injection Attack: Low-Value PHP Function Call Found',",84
1.85.2.113,":'Path Traversal Attack (/../)',",154
1.85.2.113,":'SQL Comment Sequence Detected.',",187
1.85.2.113,":'SQL Injection Attack',",74
1.85.2.113,":'XSS Filter - Category 3: Attribute Vector',",527
1.85.2.113,MSG,0
100.15.179.195,MSG,0
100.42.67.26,MSG,0
100.42.68.194,":'Path Traversal Attack (/../)',",2
100.42.68.194,MSG,0
101.132.107.128,MSG,0
101.207.121.34,MSG,0
101.227.1.200,":'Detects MySQL UDF injection and other data/structure manipulation attempts',",175
101.227.1.200,":'Detects SQL benchmark and sleep injection attempts including conditional queries',",34
101.227.1.200,":'Detects blind sqli tests using sleep() or benchmark().',",1379
101.227.1.200,":'Detects conditional SQL injection attempts',",5
101.227.1.200,":'IE XSS Filters - Attack Detected.',",933
101.227.1.200,":'Looking for basic sql injection. Common attack string for mysql, oracle and others.',",3269
101.227.1.200,":'MySQL in-line comment detected.',",742
101.227.1.200,":'PHP Injection Attack: High-Risk PHP Function Call Found',",9600
101.227.1.200,":'PHP Injection Attack: Low-Value PHP Function Call Found',",9790
101.227.1.200,":'PHP Injection Attack: PHP Open Tag Found',",1042
101.227.1.200,":'Path Traversal Attack (/../)',",25692
101.227.1.200,":'Possible XSS Attack Detected - HTML Tag Handler',",3965
101.227.1.200,":'Remote Command Execution: Unix Shell Expression Found',",218
101.227.1.200,":'Remote Command Execution: Wildcard bypass technique attempt',",2767
101.227.1.200,":'SQL Comment Sequence Detected.',",19845
101.227.1.200,":'SQL Hex Encoding Identified',",13031
101.227.1.200,":'SQL Injection Attack',",46950
101.227.1.200,":'SQL Injection Attack: Common DB Names Detected',",13197
101.227.1.200,":'US-ASCII Malformed Encoding XSS Filter - Attack Detected.',",95
101.227.1.200,":'UTF-7 Encoding IE XSS - Attack Detected.',",244
101.227.1.200,":'XSS Filter - Category 1: Script Tag Vector',",1279
101.227.1.200,":'XSS Filter - Category 3: Attribute Vector',",2427
